"model","agent","bias","n_reps","tau"
"A","citalopram",0.0214,36,0.2
"A","escitalopram",0.047,36,0.2
"A","fluoxetine",-0.0087,36,0.2
"A","paroxetine",0.0162,36,0.2
"A","sertraline",0.0671,36,0.2
"B","citalopram",-0.0137,27,0.2
"B","escitalopram",-3e-04,27,0.2
"B","fluoxetine",-0.0062,27,0.2
"B","paroxetine",-0.0184,27,0.2
"B","sertraline",0.0487,27,0.2
"Ref","citalopram",0.1048,40,0.2
"Ref","escitalopram",0.0722,40,0.2
"Ref","fluoxetine",0.037,40,0.2
"Ref","paroxetine",0.0778,40,0.2
"Ref","sertraline",0.0768,40,0.2
"Lumped","citalopram",-0.2369,34,0.2
"Lumped","escitalopram",-0.2327,34,0.2
"Lumped","fluoxetine",-0.1217,34,0.2
"Lumped","paroxetine",-0.2666,34,0.2
"Lumped","sertraline",-0.0965,34,0.2
"A","citalopram",0.0629,18,0.15
"A","escitalopram",0.0432,18,0.15
"A","fluoxetine",0.0262,18,0.15
"A","paroxetine",0.0045,18,0.15
"A","sertraline",0.164,18,0.15
"B","citalopram",0.0305,20,0.15
"B","escitalopram",-0.0319,20,0.15
"B","fluoxetine",0.0077,20,0.15
"B","paroxetine",-0.0284,20,0.15
"B","sertraline",0.1231,20,0.15
"Ref","citalopram",0.0918,28,0.15
"Ref","escitalopram",0.0492,28,0.15
"Ref","fluoxetine",0.0188,28,0.15
"Ref","paroxetine",0.0747,28,0.15
"Ref","sertraline",0.1843,28,0.15
"Lumped","citalopram",-0.2838,29,0.15
"Lumped","escitalopram",-0.2324,29,0.15
"Lumped","fluoxetine",-0.0957,29,0.15
"Lumped","paroxetine",-0.2637,29,0.15
"Lumped","sertraline",-0.2405,29,0.15
"A","citalopram",-4e-04,19,0.1
"A","escitalopram",0.0221,19,0.1
"A","fluoxetine",-0.0066,19,0.1
"A","paroxetine",0.0618,19,0.1
"A","sertraline",-0.1056,19,0.1
"B","citalopram",-0.0104,14,0.1
"B","escitalopram",-0.0384,14,0.1
"B","fluoxetine",-0.0238,14,0.1
"B","paroxetine",-0.0011,14,0.1
"B","sertraline",0.0168,14,0.1
"Ref","citalopram",0.1012,21,0.1
"Ref","escitalopram",0.0672,21,0.1
"Ref","fluoxetine",0.0379,21,0.1
"Ref","paroxetine",0.1448,21,0.1
"Ref","sertraline",0.0224,21,0.1
"Lumped","citalopram",-0.2768,25,0.1
"Lumped","escitalopram",-0.2434,25,0.1
"Lumped","fluoxetine",-0.1376,25,0.1
"Lumped","paroxetine",-0.2497,25,0.1
"Lumped","sertraline",-0.285,25,0.1
"A","citalopram",2e-04,12,0.05
"A","escitalopram",0.1092,12,0.05
"A","fluoxetine",-0.0052,12,0.05
"A","paroxetine",0.0019,12,0.05
"A","sertraline",0.0578,12,0.05
"B","citalopram",-0.053,7,0.05
"B","escitalopram",0.0202,7,0.05
"B","fluoxetine",-0.0532,7,0.05
"B","paroxetine",-0.0195,7,0.05
"B","sertraline",-0.0532,7,0.05
"Ref","citalopram",0.0771,20,0.05
"Ref","escitalopram",0.109,20,0.05
"Ref","fluoxetine",0.0093,20,0.05
"Ref","paroxetine",0.0639,20,0.05
"Ref","sertraline",0.0709,20,0.05
"Lumped","citalopram",-0.2576,31,0.05
"Lumped","escitalopram",-0.221,31,0.05
"Lumped","fluoxetine",-0.1347,31,0.05
"Lumped","paroxetine",-0.2646,31,0.05
"Lumped","sertraline",-0.1589,31,0.05
"A","citalopram",-0.0438,8,0.01
"A","escitalopram",-0.0144,8,0.01
"A","fluoxetine",8e-04,8,0.01
"A","paroxetine",0.0441,8,0.01
"A","sertraline",0.0335,8,0.01
"B","citalopram",0.0601,9,0.01
"B","escitalopram",-0.006,9,0.01
"B","fluoxetine",-0.0219,9,0.01
"B","paroxetine",0.0344,9,0.01
"B","sertraline",-0.0388,9,0.01
"Ref","citalopram",0.1046,17,0.01
"Ref","escitalopram",0.0537,17,0.01
"Ref","fluoxetine",0.0217,17,0.01
"Ref","paroxetine",0.1481,17,0.01
"Ref","sertraline",-0.0442,17,0.01
"Lumped","citalopram",-0.3007,30,0.01
"Lumped","escitalopram",-0.2447,30,0.01
"Lumped","fluoxetine",-0.0976,30,0.01
"Lumped","paroxetine",-0.2498,30,0.01
"Lumped","sertraline",-0.1871,30,0.01
